date,excercise_name,set_num,weight,rep
2020-09-29,Bent Over Row (Barbell),1,44.09245244,5
2020-09-29,Bent Over Row (Barbell),2,66.13867866,5
2020-09-29,Bent Over Row (Barbell),3,110.2311311,5
2020-09-29,Bent Over Row (Barbell),4,154.3235835,3
2020-09-29,Bent Over Row (Barbell),5,187.3929229,8
2020-09-29,Bent Over Row (Barbell),6,187.3929229,8
2020-09-29,Bent Over Row (Barbell),7,187.3929229,8
2020-09-29,Bent Over Row (Barbell),8,187.3929229,7
2020-09-29,Chin Up,1,0,10
2020-09-29,Chin Up,2,0,10
2020-09-29,Chin Up,3,0,9
2020-09-29,Seated Row (Cable),1,132.2773573,12
2020-09-29,Seated Row (Cable),2,132.2773573,12
2020-09-29,Seated Row (Cable),3,132.2773573,12
2020-09-29,Lat Pulldown (Machine),1,107.4753528,12
2020-09-29,Lat Pulldown (Machine),2,107.4753528,12
2020-09-29,Lat Pulldown (Machine),3,107.4753528,13
2020-09-29,Bicep Curl (Barbell),1,55.11556555,12
2020-09-29,Bicep Curl (Barbell),2,55.11556555,10
2020-09-30,Bench Press (Barbell),1,214.9507056,5
2020-09-30,Bench Press (Barbell),2,214.9507056,4
2020-09-30,Bench Press (Barbell),3,214.9507056,4
2020-09-30,Bench Press (Barbell),4,214.9507056,4
2020-09-30,Chest Fly,1,30.31356105,12
2020-09-30,Chest Fly,2,30.31356105,12
2020-09-30,Chest Fly,3,30.31356105,12
2020-09-30,Seated Overhead Press (Dumbbell),1,49.60400899,12
2020-09-30,Seated Overhead Press (Dumbbell),2,49.60400899,12
2020-09-30,Seated Overhead Press (Dumbbell),3,49.60400899,11
2020-09-30,Lateral Raise (Dumbbell),1,27.55778277,15
2020-09-30,Lateral Raise (Dumbbell),2,27.55778277,15
2020-09-30,Lateral Raise (Dumbbell),3,27.55778277,15
2020-09-30,Lateral Raise (Dumbbell),4,16.53466966,10
2020-09-30,Chest Press (Machine),1,170.8582532,10
2020-09-30,Chest Press (Machine),2,170.8582532,10
2020-09-30,Triceps Extension (Dumbbell),1,66.13867866,15
2020-09-30,Triceps Extension (Dumbbell),2,66.13867866,15
2020-10-01,Sumo Deadlift (Barbell),1,44.09245244,5
2020-10-01,Sumo Deadlift (Barbell),2,110.2311311,5
2020-10-01,Sumo Deadlift (Barbell),3,176.3698097,5
2020-10-01,Sumo Deadlift (Barbell),4,242.5084884,3
2020-10-01,Sumo Deadlift (Barbell),5,286.6009408,3
2020-10-01,Sumo Deadlift (Barbell),6,286.6009408,3
2020-10-01,Sumo Deadlift (Barbell),7,286.6009408,3
2020-10-01,Sumo Deadlift (Barbell),8,286.6009408,3
2020-10-01,Chin Up,1,0,10
2020-10-01,Chin Up,2,0,10
2020-10-01,Chin Up,3,0,9
2020-10-01,Leg Extension (Machine),1,231.4853753,12
2020-10-01,Leg Extension (Machine),2,231.4853753,12
2020-10-01,Leg Extension (Machine),3,231.4853753,12
2020-10-01,Lying Leg Curl (Machine),1,104.7195745,12
2020-10-01,Lying Leg Curl (Machine),2,104.7195745,12
2020-10-01,Lying Leg Curl (Machine),3,104.7195745,12
